| Reward: -500 | Episode: 0 | Qmax: 84.79472825809088 | Exploration: 0.65
| Reward: -500 | Episode: 1 | Qmax: 143.6896296560406 | Exploration: 0.65
| Reward: -500 | Episode: 2 | Qmax: 159.7251110497362 | Exploration: 0.65
| Reward: -500 | Episode: 3 | Qmax: 172.02654011024978 | Exploration: 0.65
| Reward: -500 | Episode: 4 | Qmax: 173.87878112181394 | Exploration: 0.65
| Reward: -500 | Episode: 5 | Qmax: 173.88586049662803 | Exploration: 0.65
| Reward: -500 | Episode: 6 | Qmax: 174.03769388753093 | Exploration: 0.65
| Reward: -500 | Episode: 7 | Qmax: 172.87357126973674 | Exploration: 0.65
| Reward: -500 | Episode: 8 | Qmax: 171.605609962601 | Exploration: 0.65
| Reward: -500 | Episode: 9 | Qmax: 170.73640628424818 | Exploration: 0.65
| Reward: -500 | Episode: 10 | Qmax: 169.22894280993629 | Exploration: 0.65
| Reward: -500 | Episode: 11 | Qmax: 167.66184263668939 | Exploration: 0.65
| Reward: -500 | Episode: 12 | Qmax: 166.09591442406298 | Exploration: 0.65
| Reward: -500 | Episode: 13 | Qmax: 164.50930110342756 | Exploration: 0.65
| Reward: -500 | Episode: 14 | Qmax: 163.02429795504094 | Exploration: 0.65
| Reward: -500 | Episode: 15 | Qmax: 161.45731786448874 | Exploration: 0.65
| Reward: -500 | Episode: 16 | Qmax: 159.7517393796382 | Exploration: 0.65
| Reward: -500 | Episode: 17 | Qmax: 157.9787649334313 | Exploration: 0.65
| Reward: -109 | Episode: 18 | Qmax: 158.28546338562572 | Exploration: 0.6435
| Reward: -500 | Episode: 19 | Qmax: 155.904525634521 | Exploration: 0.6435
| Reward: -500 | Episode: 20 | Qmax: 154.20488043347436 | Exploration: 0.6435
| Reward: -500 | Episode: 21 | Qmax: 152.44278507576678 | Exploration: 0.6435
| Reward: -117 | Episode: 22 | Qmax: 152.4708476270366 | Exploration: 0.637065
| Reward: -500 | Episode: 23 | Qmax: 150.58513496108426 | Exploration: 0.637065
| Reward: -500 | Episode: 24 | Qmax: 148.97654115604254 | Exploration: 0.637065
| Reward: -500 | Episode: 25 | Qmax: 147.49063544569609 | Exploration: 0.637065
| Reward: -500 | Episode: 26 | Qmax: 145.84353860920083 | Exploration: 0.637065
| Reward: -125 | Episode: 27 | Qmax: 145.74703735351562 | Exploration: 0.63069435
| Reward: -500 | Episode: 28 | Qmax: 143.90009000545035 | Exploration: 0.63069435
| Reward: -105 | Episode: 29 | Qmax: 144.2409404936291 | Exploration: 0.6243874065
| Reward: -500 | Episode: 30 | Qmax: 142.1336236009617 | Exploration: 0.6243874065
| Reward: -500 | Episode: 31 | Qmax: 140.7569853146234 | Exploration: 0.6243874065
| Reward: -500 | Episode: 32 | Qmax: 139.54034656226514 | Exploration: 0.6243874065
| Reward: -500 | Episode: 33 | Qmax: 137.87010254028564 | Exploration: 0.6243874065
| Reward: -115 | Episode: 34 | Qmax: 137.92110900878907 | Exploration: 0.618143532435
| Reward: -500 | Episode: 35 | Qmax: 136.05948530361505 | Exploration: 0.618143532435
| Reward: -500 | Episode: 36 | Qmax: 134.68083215380958 | Exploration: 0.618143532435
| Reward: -500 | Episode: 37 | Qmax: 133.3280051619352 | Exploration: 0.618143532435
| Reward: -500 | Episode: 38 | Qmax: 131.86960007050234 | Exploration: 0.618143532435
| Reward: -500 | Episode: 39 | Qmax: 130.56968227225937 | Exploration: 0.618143532435
| Reward: -500 | Episode: 40 | Qmax: 129.30357541254384 | Exploration: 0.618143532435
| Reward: -500 | Episode: 41 | Qmax: 128.0600337026592 | Exploration: 0.618143532435
| Reward: -500 | Episode: 42 | Qmax: 126.79331841784155 | Exploration: 0.618143532435
