| Reward: -500 | Episode: 0 | Qmax: 62.99807505330485 | Exploration: 0.65
| Reward: -500 | Episode: 1 | Qmax: 79.54041649583347 | Exploration: 0.65
| Reward: -500 | Episode: 2 | Qmax: 82.21382008095782 | Exploration: 0.65
| Reward: -500 | Episode: 3 | Qmax: 83.6499064718793 | Exploration: 0.65
| Reward: -500 | Episode: 4 | Qmax: 84.53829052453051 | Exploration: 0.65
| Reward: -500 | Episode: 5 | Qmax: 90.54128902947497 | Exploration: 0.65
| Reward: -500 | Episode: 6 | Qmax: 101.6137731854089 | Exploration: 0.65
| Reward: -500 | Episode: 7 | Qmax: 100.08921855246138 | Exploration: 0.65
| Reward: -500 | Episode: 8 | Qmax: 98.55617775467928 | Exploration: 0.65
| Reward: -500 | Episode: 9 | Qmax: 96.8618313133836 | Exploration: 0.65
| Reward: -500 | Episode: 10 | Qmax: 95.63876885545994 | Exploration: 0.65
| Reward: -500 | Episode: 11 | Qmax: 94.16555050714221 | Exploration: 0.65
| Reward: -500 | Episode: 12 | Qmax: 92.75670284355331 | Exploration: 0.65
| Reward: -500 | Episode: 13 | Qmax: 90.89398963943512 | Exploration: 0.65
| Reward: -500 | Episode: 14 | Qmax: 89.74634906715286 | Exploration: 0.65
| Reward: -500 | Episode: 15 | Qmax: 88.69009307677855 | Exploration: 0.65
| Reward: -500 | Episode: 16 | Qmax: 87.38063196094338 | Exploration: 0.65
| Reward: -500 | Episode: 17 | Qmax: 86.75732299560057 | Exploration: 0.65
| Reward: -500 | Episode: 18 | Qmax: 85.43882291254873 | Exploration: 0.65
| Reward: -500 | Episode: 19 | Qmax: 83.70966759568942 | Exploration: 0.65
| Reward: -500 | Episode: 20 | Qmax: 87.26063303670328 | Exploration: 0.65
| Reward: -500 | Episode: 21 | Qmax: 98.34841230923762 | Exploration: 0.65
| Reward: -500 | Episode: 22 | Qmax: 96.45409966661839 | Exploration: 0.65
| Reward: -500 | Episode: 23 | Qmax: 95.26823916081675 | Exploration: 0.65
| Reward: -500 | Episode: 24 | Qmax: 93.40685096389068 | Exploration: 0.65
| Reward: -500 | Episode: 25 | Qmax: 91.53271626566121 | Exploration: 0.65
| Reward: -500 | Episode: 26 | Qmax: 90.39829952874499 | Exploration: 0.65
| Reward: -500 | Episode: 27 | Qmax: 88.76034276805564 | Exploration: 0.65
| Reward: -500 | Episode: 28 | Qmax: 88.08759050999949 | Exploration: 0.65
| Reward: -500 | Episode: 29 | Qmax: 86.37851629467431 | Exploration: 0.65
| Reward: -500 | Episode: 30 | Qmax: 85.62835146000008 | Exploration: 0.65
| Reward: -500 | Episode: 31 | Qmax: 84.30831036156786 | Exploration: 0.65
| Reward: -500 | Episode: 32 | Qmax: 82.44496866505227 | Exploration: 0.65
| Reward: -500 | Episode: 33 | Qmax: 81.44067660314525 | Exploration: 0.65
| Reward: -500 | Episode: 34 | Qmax: 80.05998171880871 | Exploration: 0.65
| Reward: -500 | Episode: 35 | Qmax: 78.90643789104087 | Exploration: 0.65
| Reward: -500 | Episode: 36 | Qmax: 78.38417073863303 | Exploration: 0.65
| Reward: -500 | Episode: 37 | Qmax: 77.82785047940119 | Exploration: 0.65
| Reward: -500 | Episode: 38 | Qmax: 75.99840761234383 | Exploration: 0.65
| Reward: -500 | Episode: 39 | Qmax: 75.03321253560588 | Exploration: 0.65
| Reward: -500 | Episode: 40 | Qmax: 73.5960774087237 | Exploration: 0.65
| Reward: -500 | Episode: 41 | Qmax: 72.20352837939062 | Exploration: 0.65
| Reward: -500 | Episode: 42 | Qmax: 71.55652739958677 | Exploration: 0.65
| Reward: -500 | Episode: 43 | Qmax: 70.06769096206328 | Exploration: 0.65
| Reward: -500 | Episode: 44 | Qmax: 69.28006045660658 | Exploration: 0.65
| Reward: -500 | Episode: 45 | Qmax: 68.27954616814195 | Exploration: 0.65
| Reward: -500 | Episode: 46 | Qmax: 66.85428070496462 | Exploration: 0.65
| Reward: -500 | Episode: 47 | Qmax: 67.18455328778896 | Exploration: 0.65
| Reward: -500 | Episode: 48 | Qmax: 68.35561619301836 | Exploration: 0.65
| Reward: -500 | Episode: 49 | Qmax: 66.98201534599961 | Exploration: 0.65
| Reward: -500 | Episode: 50 | Qmax: 66.14913237883238 | Exploration: 0.65
| Reward: -500 | Episode: 51 | Qmax: 65.1978735073296 | Exploration: 0.65
| Reward: -500 | Episode: 52 | Qmax: 63.1712385341973 | Exploration: 0.65
| Reward: -500 | Episode: 53 | Qmax: 62.835288512205075 | Exploration: 0.65
| Reward: -500 | Episode: 54 | Qmax: 61.467615773539265 | Exploration: 0.65
| Reward: -500 | Episode: 55 | Qmax: 61.08695585598688 | Exploration: 0.65
| Reward: -500 | Episode: 56 | Qmax: 59.70181004556721 | Exploration: 0.65
| Reward: -500 | Episode: 57 | Qmax: 58.97685314323716 | Exploration: 0.65
| Reward: -500 | Episode: 58 | Qmax: 58.22794403198487 | Exploration: 0.65
| Reward: -500 | Episode: 59 | Qmax: 56.97047696467153 | Exploration: 0.65
| Reward: -500 | Episode: 60 | Qmax: 56.221771416062104 | Exploration: 0.65
