| Reward: -500 | Episode: 0 | Qmax: 84.79472825809088 | Exploration: 0.65
| Reward: -500 | Episode: 1 | Qmax: 143.6896296560406 | Exploration: 0.65
| Reward: -500 | Episode: 2 | Qmax: 159.7251110497362 | Exploration: 0.65
| Reward: -500 | Episode: 3 | Qmax: 172.02654011024978 | Exploration: 0.65
| Reward: -500 | Episode: 4 | Qmax: 173.87878112181394 | Exploration: 0.65
| Reward: -500 | Episode: 5 | Qmax: 173.88586049662803 | Exploration: 0.65
| Reward: -500 | Episode: 6 | Qmax: 174.03769388753093 | Exploration: 0.65
| Reward: -500 | Episode: 7 | Qmax: 172.87357126973674 | Exploration: 0.65
| Reward: -500 | Episode: 8 | Qmax: 171.605609962601 | Exploration: 0.65
| Reward: -500 | Episode: 9 | Qmax: 170.73640628424818 | Exploration: 0.65
| Reward: -500 | Episode: 10 | Qmax: 169.22894280993629 | Exploration: 0.65
| Reward: -500 | Episode: 11 | Qmax: 167.66184263668939 | Exploration: 0.65
| Reward: -500 | Episode: 12 | Qmax: 166.09591442406298 | Exploration: 0.65
| Reward: -500 | Episode: 13 | Qmax: 164.50930110342756 | Exploration: 0.65
| Reward: -500 | Episode: 14 | Qmax: 163.02429795504094 | Exploration: 0.65
| Reward: -500 | Episode: 15 | Qmax: 161.45731786448874 | Exploration: 0.65
| Reward: -500 | Episode: 16 | Qmax: 159.7517393796382 | Exploration: 0.65
| Reward: -500 | Episode: 17 | Qmax: 157.9787649334313 | Exploration: 0.65
| Reward: -109 | Episode: 18 | Qmax: 158.28546338562572 | Exploration: 0.598
| Reward: -500 | Episode: 19 | Qmax: 155.89028579008604 | Exploration: 0.598
| Reward: -500 | Episode: 20 | Qmax: 154.20403529837995 | Exploration: 0.598
| Reward: -500 | Episode: 21 | Qmax: 152.4479308653929 | Exploration: 0.598
| Reward: -500 | Episode: 22 | Qmax: 150.95103705335475 | Exploration: 0.598
| Reward: -57 | Episode: 23 | Qmax: 152.32644091154398 | Exploration: 0.55016
| Reward: -500 | Episode: 24 | Qmax: 149.21673122245468 | Exploration: 0.55016
| Reward: -500 | Episode: 25 | Qmax: 147.62408379992408 | Exploration: 0.55016
| Reward: -500 | Episode: 26 | Qmax: 146.15543611637338 | Exploration: 0.55016
| Reward: -500 | Episode: 27 | Qmax: 144.4823067460605 | Exploration: 0.55016
| Reward: -500 | Episode: 28 | Qmax: 143.02590333865973 | Exploration: 0.55016
| Reward: -500 | Episode: 29 | Qmax: 141.56099855350348 | Exploration: 0.55016
| Reward: -500 | Episode: 30 | Qmax: 139.99831303231463 | Exploration: 0.55016
| Reward: -500 | Episode: 31 | Qmax: 138.676292312408 | Exploration: 0.55016
| Reward: -500 | Episode: 32 | Qmax: 137.21528613256788 | Exploration: 0.55016
| Reward: -500 | Episode: 33 | Qmax: 135.8457224507609 | Exploration: 0.55016
| Reward: -500 | Episode: 34 | Qmax: 134.43593213648978 | Exploration: 0.55016
| Reward: -500 | Episode: 35 | Qmax: 133.12714570987677 | Exploration: 0.55016
| Reward: -500 | Episode: 36 | Qmax: 131.88228559780694 | Exploration: 0.55016
| Reward: -500 | Episode: 37 | Qmax: 130.61229725686724 | Exploration: 0.55016
| Reward: -500 | Episode: 38 | Qmax: 129.33953433906387 | Exploration: 0.55016
| Reward: -500 | Episode: 39 | Qmax: 128.14840352702475 | Exploration: 0.55016
| Reward: -500 | Episode: 40 | Qmax: 126.77373914393729 | Exploration: 0.55016
| Reward: -500 | Episode: 41 | Qmax: 125.54680234492422 | Exploration: 0.55016
| Reward: -500 | Episode: 42 | Qmax: 124.31115669143463 | Exploration: 0.55016
