| Reward: -1500 | Episode: 0 | Qmax: 75.47693783160128 | Exploration: 0.65
| Reward: -1500 | Episode: 1 | Qmax: 85.56007715063623 | Exploration: 0.65
| Reward: -1500 | Episode: 2 | Qmax: 95.51069928169886 | Exploration: 0.65
| Reward: -1500 | Episode: 3 | Qmax: 91.43912494906272 | Exploration: 0.65
| Reward: -1500 | Episode: 4 | Qmax: 91.6328476949721 | Exploration: 0.65
| Reward: -1500 | Episode: 5 | Qmax: 91.85147695305986 | Exploration: 0.65
| Reward: -1500 | Episode: 6 | Qmax: 87.8359197065622 | Exploration: 0.65
| Reward: -1500 | Episode: 7 | Qmax: 83.87491572547388 | Exploration: 0.65
| Reward: -1500 | Episode: 8 | Qmax: 80.20088130144217 | Exploration: 0.65
| Reward: -1500 | Episode: 9 | Qmax: 76.54094213036555 | Exploration: 0.65
| Reward: -1500 | Episode: 10 | Qmax: 73.22018675393785 | Exploration: 0.65
| Reward: -1500 | Episode: 11 | Qmax: 70.00762068103997 | Exploration: 0.65
| Reward: -1500 | Episode: 12 | Qmax: 67.24881171035003 | Exploration: 0.65
| Reward: -1500 | Episode: 13 | Qmax: 64.25008670992658 | Exploration: 0.65
| Reward: -1500 | Episode: 14 | Qmax: 61.233036939584075 | Exploration: 0.65
| Reward: -1500 | Episode: 15 | Qmax: 60.1523460174418 | Exploration: 0.65
| Reward: -1500 | Episode: 16 | Qmax: 67.56948650225232 | Exploration: 0.65
| Reward: -1500 | Episode: 17 | Qmax: 64.11277167871843 | Exploration: 0.65
| Reward: -1500 | Episode: 18 | Qmax: 61.190957273619425 | Exploration: 0.65
| Reward: -1500 | Episode: 19 | Qmax: 58.25591824959722 | Exploration: 0.65
| Reward: -1500 | Episode: 20 | Qmax: 55.597969271486164 | Exploration: 0.65
| Reward: -1500 | Episode: 21 | Qmax: 52.81438309642138 | Exploration: 0.65
| Reward: -1500 | Episode: 22 | Qmax: 50.09565666152923 | Exploration: 0.65
| Reward: -1500 | Episode: 23 | Qmax: 47.30380295084825 | Exploration: 0.65
| Reward: -1500 | Episode: 24 | Qmax: 44.92659249919665 | Exploration: 0.65
| Reward: -1500 | Episode: 25 | Qmax: 41.86354877759489 | Exploration: 0.65
| Reward: -1500 | Episode: 26 | Qmax: 40.4048050886158 | Exploration: 0.65
| Reward: -1500 | Episode: 27 | Qmax: 39.29273183414187 | Exploration: 0.65
| Reward: -1500 | Episode: 28 | Qmax: 36.99377713321128 | Exploration: 0.65
| Reward: -1500 | Episode: 29 | Qmax: 34.63625331748876 | Exploration: 0.65
| Reward: -1500 | Episode: 30 | Qmax: 32.7739548635451 | Exploration: 0.65
| Reward: -1500 | Episode: 31 | Qmax: 32.83391903526708 | Exploration: 0.65
| Reward: -1500 | Episode: 32 | Qmax: 31.062076058365488 | Exploration: 0.65
| Reward: -1500 | Episode: 33 | Qmax: 30.812845952197502 | Exploration: 0.65
| Reward: -1500 | Episode: 34 | Qmax: 28.40962428804872 | Exploration: 0.65
| Reward: -1500 | Episode: 35 | Qmax: 26.35692975424066 | Exploration: 0.65
| Reward: -1500 | Episode: 36 | Qmax: 24.426761122685104 | Exploration: 0.65
| Reward: -1500 | Episode: 37 | Qmax: 22.181840080352845 | Exploration: 0.65
| Reward: -1500 | Episode: 38 | Qmax: 20.342997046452194 | Exploration: 0.65
| Reward: -10 | Episode: 39 | Qmax: 21.28408350944519 | Exploration: 0.598
| Reward: -1500 | Episode: 40 | Qmax: 18.376236447021913 | Exploration: 0.598
| Reward: -1500 | Episode: 41 | Qmax: 16.618788842999038 | Exploration: 0.598
| Reward: -1500 | Episode: 42 | Qmax: 14.652677544201907 | Exploration: 0.598
| Reward: -1500 | Episode: 43 | Qmax: 12.763772730333477 | Exploration: 0.598
| Reward: -1500 | Episode: 44 | Qmax: 11.078422518622247 | Exploration: 0.598
| Reward: -42 | Episode: 45 | Qmax: 10.995600019182477 | Exploration: 0.55016
| Reward: -1500 | Episode: 46 | Qmax: 9.516780336904995 | Exploration: 0.55016
| Reward: -1500 | Episode: 47 | Qmax: 7.61345739347526 | Exploration: 0.55016
| Reward: -1500 | Episode: 48 | Qmax: 5.944039034388159 | Exploration: 0.55016
| Reward: -1500 | Episode: 49 | Qmax: 4.6897345918508435 | Exploration: 0.55016
| Reward: -1500 | Episode: 50 | Qmax: 3.0112292997394903 | Exploration: 0.55016
| Reward: -6 | Episode: 51 | Qmax: 3.0974961717923484 | Exploration: 0.5061472
| Reward: -84 | Episode: 52 | Qmax: 2.0785241073795726 | Exploration: 0.465655424
| Reward: -40 | Episode: 53 | Qmax: 2.769234447181225 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 54 | Qmax: 1.1702103270658897 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 55 | Qmax: -0.37380463696563937 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 56 | Qmax: -1.6205856558792864 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 57 | Qmax: -2.9499832459975823 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 58 | Qmax: -3.6927080258374176 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 59 | Qmax: -0.74250876552626 | Exploration: 0.42840299008
| Reward: -1500 | Episode: 60 | Qmax: 0.1337300254643371 | Exploration: 0.42840299008
